,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
220,2022,MI,FT,Data Scientist,115360,USD,115360,US,100,US,M
221,2022,MI,FT,Data Scientist,120000,AUD,83793,AU,0,AU,L
229,2022,MI,FT,Data Scientist,108000,USD,108000,US,50,US,L
239,2022,SE,FT,Data Scientist,198440,USD,198440,US,100,US,M
240,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
245,2022,MI,FT,Data Scientist,72000,EUR,75806,DE,100,DE,S
248,2022,SE,FT,Data Scientist,198440,USD,198440,US,0,US,L
249,2022,SE,FT,Data Scientist,144000,USD,144000,US,0,US,L
279,2022,MI,FT,Data Scientist,10000,USD,10000,TR,0,TR,M
284,2022,SE,FT,Data Scientist,215000,USD,215000,US,0,US,L
285,2022,SE,FT,Data Scientist,159000,USD,159000,US,0,US,L
292,2022,SE,FT,Data Scientist,236900,USD,236900,US,100,US,L
293,2022,SE,FT,Data Scientist,159200,USD,159200,US,100,US,L
300,2022,SE,FT,Data Scientist,148000,USD,148000,US,100,US,M
301,2022,SE,FT,Data Scientist,128000,USD,128000,US,100,US,M
306,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
307,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
310,2022,SE,FT,Data Scientist,218000,USD,218000,US,0,US,M
311,2022,SE,FT,Data Scientist,145300,USD,145300,US,0,US,M
315,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
316,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
317,2022,SE,FT,Data Scientist,207000,USD,207000,US,100,US,M
318,2022,SE,FT,Data Scientist,153000,USD,153000,US,100,US,M
319,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
320,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
323,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
324,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
325,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
326,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
327,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
328,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
331,2022,SE,FT,Data Scientist,207000,USD,207000,US,100,US,M
332,2022,SE,FT,Data Scientist,153000,USD,153000,US,100,US,M
333,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
334,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
335,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
336,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
337,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
338,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
352,2022,MI,FT,Data Scientist,83000,GBP,102799,GB,100,GB,M
353,2022,EN,FT,Data Scientist,1800000,INR,23090,IN,50,IN,M
383,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,L
384,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
389,2022,SE,FT,Data Scientist,179400,USD,179400,US,0,US,M
390,2022,SE,FT,Data Scientist,154000,USD,154000,US,0,US,M
403,2022,EN,FT,Data Scientist,93000,USD,93000,US,0,US,M
404,2022,EN,FT,Data Scientist,73000,USD,73000,US,0,US,M
408,2022,SE,FT,Data Scientist,136994,USD,136994,US,100,US,M
409,2022,SE,FT,Data Scientist,101570,USD,101570,US,100,US,M
414,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
415,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
419,2022,SE,FT,Data Scientist,172000,USD,172000,US,100,US,M
420,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
432,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
433,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
437,2022,MI,FT,Data Scientist,70000,EUR,73701,NL,50,NL,L
438,2022,EN,FT,Data Scientist,50000,USD,50000,US,50,DE,M
440,2022,SE,FT,Data Scientist,151800,USD,151800,US,0,US,M
441,2022,SE,FT,Data Scientist,130240,USD,130240,US,0,US,M
446,2022,SE,FT,Data Scientist,179400,USD,179400,US,100,US,M
447,2022,SE,FT,Data Scientist,154000,USD,154000,US,100,US,M
448,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
449,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
450,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
451,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
452,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
453,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
461,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
462,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
463,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
464,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
467,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
468,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
471,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
472,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
473,2022,SE,FT,Data Scientist,191475,USD,191475,US,0,US,M
474,2022,SE,FT,Data Scientist,141525,USD,141525,US,0,US,M
476,2022,EN,FT,Data Scientist,30000,EUR,31586,ES,50,ES,M
484,2022,SE,FT,Data Scientist,204100,USD,204100,US,0,US,M
485,2022,SE,FT,Data Scientist,136100,USD,136100,US,0,US,M
488,2022,MI,FT,Data Scientist,96000,GBP,118900,GB,0,GB,M
489,2022,MI,FT,Data Scientist,90000,GBP,111469,GB,0,GB,M
491,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
492,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
493,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
494,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
495,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
496,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
502,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
503,2022,SE,FT,Data Scientist,130000,USD,130000,US,100,US,M
508,2022,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
509,2022,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
514,2022,SE,FT,Data Scientist,160000,USD,160000,US,0,US,L
515,2022,SE,FT,Data Scientist,119300,USD,119300,US,0,US,L
521,2022,MI,FT,Data Scientist,225000,USD,225000,US,0,US,M
522,2022,MI,FT,Data Scientist,160000,USD,160000,US,0,US,M
523,2022,MI,FT,Data Scientist,52000,EUR,54749,NL,100,NL,S
536,2022,EN,FT,Data Scientist,82000,USD,82000,US,0,US,L
537,2022,EN,PT,Data Scientist,110000,USD,110000,DO,100,FR,M
539,2022,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M
540,2022,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M
546,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
547,2022,SE,FT,Data Scientist,120000,USD,120000,US,100,US,M
552,2022,MI,FT,Data Scientist,110000,EUR,115816,NL,0,NL,M
553,2022,MI,FT,Data Scientist,85000,EUR,89494,NL,0,NL,M
592,2022,SE,FT,Data Scientist,123400,USD,123400,US,0,US,M
593,2022,SE,FT,Data Scientist,88100,USD,88100,US,0,US,M
595,2022,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
596,2022,SE,FT,Data Scientist,205000,USD,205000,US,0,US,M
602,2022,EN,FT,Data Scientist,80000,EUR,84229,BE,100,BE,L
603,2022,SE,FT,Data Scientist,12500,BRL,2428,BR,100,BR,L
622,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,L
623,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,L
630,2022,MI,FT,Data Scientist,4200000,INR,53877,IN,100,ID,L
634,2022,MI,FT,Data Scientist,107000,GBP,132524,GB,100,GB,M
643,2022,EN,FT,Data Scientist,49500,EUR,52117,BE,50,BE,S
658,2022,SE,FT,Data Scientist,160000,USD,160000,US,0,US,L
659,2022,SE,FT,Data Scientist,100000,USD,100000,US,0,US,L
666,2022,MI,FT,Data Scientist,58000,EUR,61066,DE,100,DE,S
671,2022,MI,FT,Data Scientist,65000,GBP,80505,GB,50,GB,M
678,2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
679,2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
691,2022,SE,FT,Data Scientist,160000,USD,160000,US,0,US,L
692,2022,SE,FT,Data Scientist,119300,USD,119300,US,0,US,L
694,2022,MI,FT,Data Scientist,25000,USD,25000,TR,50,TR,M
698,2022,MI,FT,Data Scientist,153000,USD,153000,US,100,US,L
704,2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
705,2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
716,2022,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
717,2022,SE,FT,Data Scientist,148800,USD,148800,US,0,US,M
733,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
736,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
737,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
747,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
748,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
782,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
783,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
786,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
787,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
788,2022,MI,FT,Data Scientist,55000,GBP,68120,GB,0,GB,M
789,2022,MI,FT,Data Scientist,35000,GBP,43349,GB,0,GB,M
802,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
803,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
810,2022,MI,FT,Data Scientist,50000,GBP,61927,GB,0,GB,M
811,2022,MI,FT,Data Scientist,30000,GBP,37156,GB,0,GB,M
814,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
815,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
822,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
823,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
830,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
831,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
836,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
837,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
838,2022,SE,FT,Data Scientist,90000,GBP,111469,GB,0,GB,M
839,2022,SE,FT,Data Scientist,80000,GBP,99084,GB,0,GB,M
840,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
841,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
850,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
851,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
854,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
855,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
864,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
865,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
888,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
889,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
890,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
891,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
896,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
897,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
916,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
917,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
930,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
931,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
936,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
937,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
944,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
945,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
946,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
947,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
948,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
949,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
952,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
953,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
966,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
967,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
970,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
971,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
972,2022,MI,FT,Data Scientist,140000,GBP,173397,GB,0,GB,M
973,2022,MI,FT,Data Scientist,70000,GBP,86698,GB,0,GB,M
976,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
977,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
984,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
985,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
994,2022,MI,FT,Data Scientist,2400000,INR,30787,IN,100,IN,L
997,2022,EN,FT,Data Scientist,1400000,INR,17959,IN,100,IN,M
1003,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
1004,2022,MI,FT,Data Scientist,88000,CAD,68096,CA,100,CA,M
1009,2022,EN,FT,Data Scientist,66500,CAD,51459,CA,100,CA,L
1010,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
1014,2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
1019,2022,EN,FT,Data Scientist,120000,AUD,83793,AU,50,AU,M
1020,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
1022,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
1024,2022,MI,FT,Data Scientist,150000,PLN,33681,PL,100,PL,L
1033,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
1038,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
1040,2022,MI,FT,Data Scientist,115000,CHF,120221,CH,0,CH,L
1043,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
1050,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
1051,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
1052,2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
1058,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
1059,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
1065,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
1088,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
1098,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
1099,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
1100,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
1106,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
1125,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
1127,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L
1151,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
1153,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L
1157,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
1161,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
1163,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
1170,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
1174,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
1176,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
1189,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
1196,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L
1198,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
1199,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
1200,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
1210,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
1212,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
1218,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L
1219,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
1224,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
1230,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
1231,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
1235,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
1238,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
1240,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
1242,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
1243,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S
1245,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M
1247,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
1251,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
1252,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
1253,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
1262,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
1275,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
1279,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
1282,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
1284,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
1285,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
1286,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
1289,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L
1290,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
1298,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
1303,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
1304,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
1305,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
1307,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
1308,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
1309,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
1315,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
1318,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
1319,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
1323,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M
1327,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
1329,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
