,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
589,2022,SE,FT,Machine Learning Engineer,248700,USD,248700,US,0,US,M
590,2022,SE,FT,Machine Learning Engineer,167100,USD,167100,US,0,US,M
615,2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
616,2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
619,2022,EN,FT,Machine Learning Engineer,115000,USD,115000,US,50,US,L
620,2022,MI,FT,Machine Learning Engineer,193900,USD,193900,US,0,US,M
621,2022,MI,FT,Machine Learning Engineer,129300,USD,129300,US,0,US,M
662,2022,EN,FT,Machine Learning Engineer,30000,USD,30000,GB,100,GB,L
674,2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
675,2022,SE,FT,Machine Learning Engineer,100000,USD,100000,US,100,US,M
706,2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
707,2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
713,2022,EN,FT,Machine Learning Engineer,83000,USD,83000,US,0,US,L
726,2022,MI,FT,Machine Learning Engineer,95000,GBP,117662,GB,0,GB,M
727,2022,MI,FT,Machine Learning Engineer,75000,GBP,92891,GB,0,GB,M
744,2022,MI,FT,Machine Learning Engineer,80000,EUR,84229,FR,100,DE,M
749,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
750,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
763,2022,EN,FT,Machine Learning Engineer,28500,GBP,35298,GB,100,GB,L
776,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
777,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
794,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
910,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
911,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
974,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
975,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
978,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
979,2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
991,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
1002,2022,SE,FT,Machine Learning Engineer,65000,EUR,68436,IE,100,IE,S
1013,2022,MI,FT,Machine Learning Engineer,121000,AUD,84491,AU,100,AU,L
1016,2022,SE,FT,Machine Learning Engineer,57000,EUR,60013,NL,100,NL,L
1063,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
1076,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
1091,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
1111,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
1116,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
1120,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
1137,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
1191,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
1195,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
1201,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
1211,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
1220,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
1222,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
1228,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
1241,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
1254,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
1258,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
1263,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M
1269,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
1273,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
1294,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
1321,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
